task,task_display,modality_group,modality_display,status,score,primary_metric,primary_metric_value,target_variant,target_source_overlap,reason,accuracy,macro_f1,balanced_accuracy,num_classes,num_train,num_test,unseen_test_classes,unseen_test_class_count,mse,mae,r2,micro_f1,exact_match,precision,recall,num_objects,mrr,top1_accuracy,top5_accuracy,top10_accuracy,median_rank,mean_rank,num_queries
timeline_action,Current Action Recognition,all_features,All Features,computed,0.00905456968081885,macro_f1,0.00905456968081885,,false,,0.017241379310344827,0.00905456968081885,0.01720647773279352,19,813,348,Place item on table|Wait/Prepare for pouring|Pour coffee|Pour milk into coffee,4,,,,,,,,,,,,,,,
timeline_action,Current Action Recognition,video,Video,computed,0.0066280033140016575,macro_f1,0.0066280033140016575,,false,,0.011494252873563218,0.0066280033140016575,0.0036199095022624436,19,813,348,Place item on table|Wait/Prepare for pouring|Pour coffee|Pour milk into coffee,4,,,,,,,,,,,,,,,
timeline_action,Current Action Recognition,depth,Depth,computed,0.0030075187969924814,macro_f1,0.0030075187969924814,,false,,0.005747126436781609,0.0030075187969924814,0.001619433198380567,19,813,348,Place item on table|Wait/Prepare for pouring|Pour coffee|Pour milk into coffee,4,,,,,,,,,,,,,,,
timeline_action,Current Action Recognition,pose_slam,Pose + SLAM,computed,0.0,macro_f1,0.0,,false,,0.0,0.0,0.0,19,813,348,Place item on table|Wait/Prepare for pouring|Pour coffee|Pour milk into coffee,4,,,,,,,,,,,,,,,
timeline_action,Current Action Recognition,motion_capture,Motion Capture,computed,0.0055147058823529415,macro_f1,0.0055147058823529415,,false,,0.008620689655172414,0.0055147058823529415,0.0028846153846153848,19,813,348,Place item on table|Wait/Prepare for pouring|Pour coffee|Pour milk into coffee,4,,,,,,,,,,,,,,,
timeline_action,Current Action Recognition,inertial,Inertial,computed,0.003055767761650115,macro_f1,0.003055767761650115,,false,,0.005747126436781609,0.003055767761650115,0.0018099547511312218,19,813,348,Place item on table|Wait/Prepare for pouring|Pour coffee|Pour milk into coffee,4,,,,,,,,,,,,,,,
timeline_action,Current Action Recognition,audio,Audio,computed,0.006925207756232688,macro_f1,0.006925207756232688,,false,,0.014367816091954023,0.006925207756232688,0.004048582995951417,19,813,348,Place item on table|Wait/Prepare for pouring|Pour coffee|Pour milk into coffee,4,,,,,,,,,,,,,,,
timeline_action,Current Action Recognition,language,Language,computed,0.027777777777777776,macro_f1,0.027777777777777776,,false,,0.05747126436781609,0.027777777777777776,0.03615384615384616,19,813,348,Place item on table|Wait/Prepare for pouring|Pour coffee|Pour milk into coffee,4,,,,,,,,,,,,,,,
timeline_action,Current Action Recognition,no_language,All Except Language,computed,0.0043859649122807015,macro_f1,0.0043859649122807015,,false,,0.008620689655172414,0.0043859649122807015,0.0024291497975708503,19,813,348,Place item on table|Wait/Prepare for pouring|Pour coffee|Pour milk into coffee,4,,,,,,,,,,,,,,,
timeline_subtask,Current Subtask Recognition,all_features,All Features,computed,0.011256354393609296,macro_f1,0.011256354393609296,,false,,0.02586206896551724,0.011256354393609296,0.02788220551378446,15,813,348,Move bottle to coffee equipment|Prepare for pouring|Pour coffee|Pour milk into coffee,4,,,,,,,,,,,,,,,
timeline_subtask,Current Subtask Recognition,video,Video,computed,0.011740041928721174,macro_f1,0.011740041928721174,,false,,0.040229885057471264,0.011740041928721174,0.01637426900584795,15,813,348,Move bottle to coffee equipment|Prepare for pouring|Pour coffee|Pour milk into coffee,4,,,,,,,,,,,,,,,
timeline_subtask,Current Subtask Recognition,depth,Depth,computed,0.009467455621301775,macro_f1,0.009467455621301775,,false,,0.022988505747126436,0.009467455621301775,0.010796221322537112,15,813,348,Move bottle to coffee equipment|Prepare for pouring|Pour coffee|Pour milk into coffee,4,,,,,,,,,,,,,,,
timeline_subtask,Current Subtask Recognition,pose_slam,Pose + SLAM,computed,0.002331002331002331,macro_f1,0.002331002331002331,,false,,0.0028735632183908046,0.002331002331002331,0.001349527665317139,15,813,348,Move bottle to coffee equipment|Prepare for pouring|Pour coffee|Pour milk into coffee,4,,,,,,,,,,,,,,,
timeline_subtask,Current Subtask Recognition,motion_capture,Motion Capture,computed,0.006756756756756756,macro_f1,0.006756756756756756,,false,,0.008620689655172414,0.006756756756756756,0.0043859649122807015,15,813,348,Move bottle to coffee equipment|Prepare for pouring|Pour coffee|Pour milk into coffee,4,,,,,,,,,,,,,,,
timeline_subtask,Current Subtask Recognition,inertial,Inertial,computed,0.004662004662004662,macro_f1,0.004662004662004662,,false,,0.005747126436781609,0.004662004662004662,0.002699055330634278,15,813,348,Move bottle to coffee equipment|Prepare for pouring|Pour coffee|Pour milk into coffee,4,,,,,,,,,,,,,,,
timeline_subtask,Current Subtask Recognition,audio,Audio,computed,0.016194331983805668,macro_f1,0.016194331983805668,,false,,0.022988505747126436,0.016194331983805668,0.010796221322537112,15,813,348,Move bottle to coffee equipment|Prepare for pouring|Pour coffee|Pour milk into coffee,4,,,,,,,,,,,,,,,
timeline_subtask,Current Subtask Recognition,language,Language,computed,0.04828150572831424,macro_f1,0.04828150572831424,,false,,0.14655172413793102,0.04828150572831424,0.0939327485380117,15,813,348,Move bottle to coffee equipment|Prepare for pouring|Pour coffee|Pour milk into coffee,4,,,,,,,,,,,,,,,
timeline_subtask,Current Subtask Recognition,no_language,All Except Language,computed,0.007427055702917773,macro_f1,0.007427055702917773,,false,,0.020114942528735632,0.007427055702917773,0.009446693657219972,15,813,348,Move bottle to coffee equipment|Prepare for pouring|Pour coffee|Pour milk into coffee,4,,,,,,,,,,,,,,,
transition_detection,Action Transition Detection,all_features,All Features,computed,0.46213292117465227,macro_f1,0.46213292117465227,,false,,0.8591954022988506,0.46213292117465227,0.4503012048192771,2,813,348,,0,,,,,,,,,,,,,,,
transition_detection,Action Transition Detection,video,Video,computed,0.46625766871165636,macro_f1,0.46625766871165636,,false,,0.8735632183908046,0.46625766871165636,0.4578313253012048,2,813,348,,0,,,,,,,,,,,,,,,
transition_detection,Action Transition Detection,depth,Depth,computed,0.4604651162790698,macro_f1,0.4604651162790698,,false,,0.853448275862069,0.4604651162790698,0.44728915662650603,2,813,348,,0,,,,,,,,,,,,,,,
transition_detection,Action Transition Detection,pose_slam,Pose + SLAM,computed,0.48444444444444446,macro_f1,0.48444444444444446,,false,,0.9396551724137931,0.48444444444444446,0.4924698795180723,2,813,348,,0,,,,,,,,,,,,,,,
transition_detection,Action Transition Detection,motion_capture,Motion Capture,computed,0.5439056356487549,macro_f1,0.5439056356487549,,false,,0.896551724137931,0.5439056356487549,0.5591114457831325,2,813,348,,0,,,,,,,,,,,,,,,
transition_detection,Action Transition Detection,inertial,Inertial,computed,0.48520710059171596,macro_f1,0.48520710059171596,,false,,0.9425287356321839,0.48520710059171596,0.4939759036144578,2,813,348,,0,,,,,,,,,,,,,,,
transition_detection,Action Transition Detection,audio,Audio,computed,0.48444444444444446,macro_f1,0.48444444444444446,,false,,0.9396551724137931,0.48444444444444446,0.4924698795180723,2,813,348,,0,,,,,,,,,,,,,,,
transition_detection,Action Transition Detection,language,Language,computed,0.7051957831325302,macro_f1,0.7051957831325302,,false,,0.9482758620689655,0.7051957831325302,0.7051957831325302,2,813,348,,0,,,,,,,,,,,,,,,
transition_detection,Action Transition Detection,no_language,All Except Language,computed,0.45454545454545453,macro_f1,0.45454545454545453,,false,,0.8333333333333334,0.45454545454545453,0.4367469879518072,2,813,348,,0,,,,,,,,,,,,,,,
next_action,Next-Action Prediction,all_features,All Features,computed,0.004971002485501243,macro_f1,0.004971002485501243,future action label from windows.csv,false,,0.008645533141210375,0.004971002485501243,0.0027573529411764708,19,810,347,Place item on table|Wait/Prepare for pouring|Pour coffee|Pour milk into coffee,4,,,,,,,,,,,,,,,
next_action,Next-Action Prediction,video,Video,computed,0.006349206349206349,macro_f1,0.006349206349206349,future action label from windows.csv,false,,0.011527377521613832,0.006349206349206349,0.003472222222222222,19,810,347,Place item on table|Wait/Prepare for pouring|Pour coffee|Pour milk into coffee,4,,,,,,,,,,,,,,,
next_action,Next-Action Prediction,depth,Depth,computed,0.001594896331738437,macro_f1,0.001594896331738437,future action label from windows.csv,false,,0.002881844380403458,0.001594896331738437,0.0008223684210526315,19,810,347,Place item on table|Wait/Prepare for pouring|Pour coffee|Pour milk into coffee,4,,,,,,,,,,,,,,,
next_action,Next-Action Prediction,pose_slam,Pose + SLAM,computed,0.0,macro_f1,0.0,future action label from windows.csv,false,,0.0,0.0,0.0,19,810,347,Place item on table|Wait/Prepare for pouring|Pour coffee|Pour milk into coffee,4,,,,,,,,,,,,,,,
next_action,Next-Action Prediction,motion_capture,Motion Capture,computed,0.00322061191626409,macro_f1,0.00322061191626409,future action label from windows.csv,false,,0.005763688760806916,0.00322061191626409,0.001736111111111111,19,810,347,Place item on table|Wait/Prepare for pouring|Pour coffee|Pour milk into coffee,4,,,,,,,,,,,,,,,
next_action,Next-Action Prediction,inertial,Inertial,computed,0.00196078431372549,macro_f1,0.00196078431372549,future action label from windows.csv,false,,0.002881844380403458,0.00196078431372549,0.0010416666666666667,19,810,347,Place item on table|Wait/Prepare for pouring|Pour coffee|Pour milk into coffee,4,,,,,,,,,,,,,,,
next_action,Next-Action Prediction,audio,Audio,computed,0.004761904761904762,macro_f1,0.004761904761904762,future action label from windows.csv,false,,0.008645533141210375,0.004761904761904762,0.0026041666666666665,19,810,347,Place item on table|Wait/Prepare for pouring|Pour coffee|Pour milk into coffee,4,,,,,,,,,,,,,,,
next_action,Next-Action Prediction,language,Language,computed,0.04193971166448231,macro_f1,0.04193971166448231,future action label from windows.csv,false,,0.1844380403458213,0.04193971166448231,0.07142857142857142,19,810,347,Place item on table|Wait/Prepare for pouring|Pour coffee|Pour milk into coffee,4,,,,,,,,,,,,,,,
next_action,Next-Action Prediction,no_language,All Except Language,computed,0.004576659038901602,macro_f1,0.004576659038901602,future action label from windows.csv,false,,0.008645533141210375,0.004576659038901602,0.0024671052631578946,19,810,347,Place item on table|Wait/Prepare for pouring|Pour coffee|Pour milk into coffee,4,,,,,,,,,,,,,,,
hand_trajectory_forecast,Future Hand Motion Forecasting,all_features,All Features,computed,0.11919872659288855,mae,7.3893513679504395,future hand feature vector from shared_windows.npz,true,,,,,,,,,,4377.7705078125,7.3893513679504395,-4562.174276179636,,,,,,,,,,,,
hand_trajectory_forecast,Future Hand Motion Forecasting,video,Video,computed,0.4956350584748486,mae,1.0176135301589966,future hand feature vector from shared_windows.npz,false,,,,,,,,,,1.7896661758422852,1.0176135301589966,-0.8654605965108897,,,,,,,,,,,,
hand_trajectory_forecast,Future Hand Motion Forecasting,depth,Depth,computed,0.04014931629731973,mae,23.907024383544922,future hand feature vector from shared_windows.npz,false,,,,,,,,,,72553.34375,23.907024383544922,-75625.0610993949,,,,,,,,,,,,
hand_trajectory_forecast,Future Hand Motion Forecasting,pose_slam,Pose + SLAM,computed,0.5611809661721311,mae,0.7819563746452332,future hand feature vector from shared_windows.npz,false,,,,,,,,,,1.2600995302200317,0.7819563746452332,-0.3134661692106211,,,,,,,,,,,,
hand_trajectory_forecast,Future Hand Motion Forecasting,motion_capture,Motion Capture,computed,0.0839705207556719,mae,10.908941268920898,future hand feature vector from shared_windows.npz,true,,,,,,,,,,6293.8876953125,10.908941268920898,-6559.441194341517,,,,,,,,,,,,
hand_trajectory_forecast,Future Hand Motion Forecasting,inertial,Inertial,computed,0.5679183061202404,mae,0.7608166337013245,future hand feature vector from shared_windows.npz,false,,,,,,,,,,1.1916581392288208,0.7608166337013245,-0.24212624676650907,,,,,,,,,,,,
hand_trajectory_forecast,Future Hand Motion Forecasting,audio,Audio,computed,0.4677426495622507,mae,1.137927770614624,future hand feature vector from shared_windows.npz,false,,,,,,,,,,3.675895929336548,1.137927770614624,-2.831574197208222,,,,,,,,,,,,
hand_trajectory_forecast,Future Hand Motion Forecasting,language,Language,computed,0.451525705011023,mae,1.2147133350372314,future hand feature vector from shared_windows.npz,false,,,,,,,,,,2.3450045585632324,1.2147133350372314,-1.4443180759924243,,,,,,,,,,,,
